Date,Open,High,Low,Close,Adj Close,Volume,,
9/24/2014,198.039993,199.690002,197.520004,199.559998,185.157196,107276000,,0.007827936
9/25/2014,199.039993,199.050003,196.270004,196.339996,182.169571,150300000,,-0.016135614
9/26/2014,196.699997,198.389999,196.419998,197.899994,183.616959,103547000,,0.007945279
9/29/2014,196.199997,197.889999,196.050003,197.539993,183.282974,95112000,,-0.001818922
9/30/2014,197.690002,198.300003,196.610001,197.020004,182.800507,131302000,,-0.002632361
10/1/2014,196.699997,196.770004,193.910004,194.350006,180.323212,177798000,,-0.013551904
10/2/2014,194.179993,195.059998,192.350006,194.380005,180.351028,157285000,,0.000154256
10/3/2014,195.679993,196.940002,195.080002,196.520004,182.336594,121569000,,0.011009452
10/6/2014,197.339996,197.600006,195.580002,196.289993,182.123199,104778000,,-0.001170336
10/7/2014,195.279999,195.720001,193.220001,193.259995,179.311859,147913000,,-0.015436474
10/8/2014,193.369995,196.919998,192.360001,196.639999,182.447922,186461000,,0.017489434
10/9/2014,196.330002,196.600006,192.580002,192.740005,178.829391,210705000,,-0.019833227
10/10/2014,192.690002,193.649994,190.490005,190.539993,176.788177,221909000,,-0.011414309
10/13/2014,190.460007,191.149994,187.300003,187.410004,173.884079,230939000,,-0.016426992
10/14/2014,188.419998,189.820007,187.039993,187.699997,174.153152,215847000,,0.001547427
10/15/2014,185.160004,187.690002,181.919998,186.429993,172.974838,380715000,,-0.006765964
10/16/2014,183.059998,187.580002,182.889999,186.270004,172.82634,270391000,,-0.000858495
10/17/2014,188.419998,189.75,187.619995,188.470001,174.867569,214625000,,0.011810867
10/20/2014,188.130005,190.449997,188.070007,190.300003,176.565506,130011000,,0.009709845
10/21/2014,191.679993,194.199997,191.479996,194.070007,180.063385,154949000,,0.019810659
10/22/2014,194.410004,194.910004,192.610001,192.690002,178.78302,151822000,,-0.007110635
10/23/2014,194.619995,196.199997,194.259995,194.929993,180.861374,154944000,,0.011625008
10/24/2014,195.25,196.490005,194.490005,196.429993,182.253067,117927000,,0.007694805
10/27/2014,195.729996,196.449997,195.029999,196.160004,182.002548,82954000,,-0.001374567
10/28/2014,196.820007,198.419998,196.729996,198.410004,184.09021,106736000,,0.01147051
10/29/2014,198.550003,199.119995,196.800003,198.110001,183.811844,142557000,,-0.001512117
10/30/2014,197.580002,199.949997,197.399994,199.380005,184.990189,113330000,,0.006410604
